genre,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Alternative,Yuna,0.0223,0.623,269893,0.761,0.000246,0.39,-6.084,0.0312,99.055,0.456,54
World,Prem Joshua,0.096,0.813,364853,0.578,0.541,0.116,-9.504,0.0341,119.826,0.13,32
Hip-Hop,DaBaby,0.0608,0.876,163320,0.662,0.0,0.127,-6.482,0.426,75.445,0.844,64
Dance,James Arthur,0.141,0.376,209440,0.696,0.0,0.11,-4.785,0.0949,169.515,0.303,76
Reggaeton,Don Omar,0.127,0.73,233999,0.648,0.0,0.232,-4.378,0.129,87.013,0.447,45
Classical,Edward Elgar,0.9,0.286,374933,0.322,0.938,0.142,-15.143,0.0433,121.489,0.259,37
Children’s Music,Wallows,0.000848,0.376,230482,0.937,0.0,0.14,-2.653,0.0757,154.014,0.488,56
Anime,Vickeblanka,0.00727,0.585,214973,0.862,4.74e-05,0.142,-5.153,0.0368,130.047,0.314,32
Reggaeton,Guaco,0.0517,0.618,276681,0.891,0.0,0.116,-8.582,0.0554,95.05,0.627,25
Reggae,Michael Franti & Spearhead,0.0417,0.607,211811,0.663,0.0,0.125,-7.4,0.178,165.866,0.74,36
R&B,Chris Brown,0.283,0.592,248693,0.415,0.0,0.0883,-10.019,0.13,126.475,0.339,51
Electronic,Seven Lions,0.0987,0.443,210884,0.727,9.35e-06,0.118,-5.171,0.0984,74.827,0.424,57
Movie,Riders In The Sky,0.828,0.688,130493,0.257,0.0,0.256,-12.558,0.852,100.278,0.608,1
Classical,Frédéric Chopin,0.936,0.204,248320,0.13,0.787,0.0787,-17.823,0.0473,143.43,0.084,28
Opera,Gaetano Donizetti,0.973,0.216,302840,0.0876,6.08e-05,0.0606,-22.311,0.053,170.181,0.0377,7
Movie,Emmylou Homs,0.688,0.517,75827,0.302,4.86e-05,0.239,-7.937,0.0301,63.308,0.323,17
Electronic,Dirt Monkey,0.00411,0.701,347200,0.668,0.714,0.6,-6.398,0.0554,149.947,0.404,26
R&B,Emily King,0.828,0.337,227867,0.224,1.42e-06,0.102,-10.972,0.0325,83.96,0.192,40
Reggaeton,Myke Towers,0.0186,0.815,250780,0.514,9.68e-05,0.0513,-6.487,0.0573,113.952,0.14,35
Indie,Ray LaMontagne,0.342,0.321,241547,0.425,0.000262,0.23,-12.73,0.0455,173.24,0.493,58
Dance,Betty Who,0.0465,0.686,189683,0.651,0.0,0.0862,-5.597,0.264,175.998,0.364,51
